Date,URL,Ideas from me,Quotes from Others,Questions for you
2024-08-15,https://jamesclear.com/3-2-1/august-15-2024,"I.
“To experience time travel, read.
To achieve immortality, write.”






Share this on Twitter


​II.
“Do bold things with a pleasant and friendly demeanor.”






Share this on Twitter


III.
“When you drink water from a cup, it becomes part of you. When water falls on you like rain, it evaporates a few minutes later.
Similarly, thoughts can be consumed or dismissed. Is this thought nourishing? Is this feeling something you should drink? Or is it more like getting caught in the rain?
You’ll always feel the rain, but you don’t have to drink the rain. You can let the thought pass and in a few moments the sun will return. You don’t have to claim everything you feel.”","I.
Singer and songwriter Bob Dylan on the advice his father gave him:
“Even if you don’t have all the things you want, be grateful for the things you don’t have that you don’t want.”
Source: ​Chronicles, Volume One​​ ​
​II.
Writer and activist James Baldwin on the power of reading:
“You think your pain and your heartbreak are unprecedented in the history of the world, but then you read. It was Dostoevsky and Dickens who taught me that the things that tormented me most were the very things that connected me with all the people who were alive, or who ever had been alive. Only if we face these open wounds in ourselves can we understand them in other people. An artist is a sort of emotional or spiritual historian. His role is to make you realize the doom and glory of knowing who you are and what you are.”
Source: LIFE Magazine (May 24, 1963)","Which activities are the best expression of you? Can you spend five minutes doing one of them today?






Share this on Twitter"
2024-08-08,https://jamesclear.com/3-2-1/august-8-2024,"I.
“Communication is about what is received, not what is intended. If there is a gap between what you are saying and what they are hearing, you have to find a new way to say it.”






Share this on Twitter


​II.
“Finding your way in life is like unlocking the combination of a safe. You have to go forwards and backwards. Life is not a direct march from A to B. The twists and turns are progress, not regression. What feels like a setback in the moment is later revealed to have been part of the path all along. Each move was necessary to get to your end goal.”

III.
“The problem with smart people is they can come up with a good reason for not doing anything. They are smart enough to find the cracks, to foresee the challenges, and to talk themselves out of the idea. They are experts at justifying their lack of courage or lack of action with an intelligent excuse.
But there will always be reasons to not do something, and this is particularly true of anything worth doing. We value those moments in which we overcame challenge, not those in which we avoided it. Ultimately, action is a choice. The choice to emphasize the reasons for doing it despite the reasons you have for avoiding it.”","I.
Episcopal bishop and clergyman Phillips Brooks reminds us of the power of quiet weeks:
“Someday, in years to come, you will be wrestling with the great temptation, or trembling under the great sorrow of your life. But the real struggle is here, now, in these quiet weeks. Now it is being decided whether, in the day of your supreme sorrow or temptation, you shall miserably fail or gloriously conquer.”
Source: The Purpose and Use of Comfort​ ​
​II.
Novelist and literary scholar C. S. Lewis on the risk of love:
“There is no safe investment. To love at all is to be vulnerable. Love anything, and your heart will certainly be wrung and possibly be broken. If you want to make sure of keeping it intact, you must give your heart to no one, not even to an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements; lock it up safe in the casket or coffin of your selfishness. But in that casket—safe, dark, motionless, air-less—it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. The alternative to tragedy, or at least to the risk of tragedy, is damnation. The only place outside Heaven where you can be perfectly safe from all the dangers and perturbations of love is Hell.”
Source: The Four Loves (Hat tip to ​Dylan O’Sullivan​)",Author and investor Morgan Housel shares a thought-provoking question: “Whose life do I admire that is secretly miserable?”
2024-08-01,https://jamesclear.com/3-2-1/august-1-2024,"I.
“If you’d like to get better at saying no, try this:
Keep a list of things you say no to. Whenever you ignore a distraction or turn down an opportunity, add it to the list. As the list grows, you begin to feel a sense of accomplishment for your ability to say no and remain focused on what matters.
Turn each no into an achievement.”

​II.
“Boredom is a filter. Common ideas come before it. Uncommon ideas come after it. Sit with a project long enough to get bored with it, then sit a little more. The most useful insights bubble up after you get bored.”






Share this on Twitter


III.
“When you’re younger, it’s easy to underestimate how fleeting the days can be. Each choice matters. Each day matters.
When you’re older, it’s easy to underestimate how much opportunity you still have. Don’t talk yourself out of it. It’s never too late to start.”






Share this on Twitter","I.
Writer and cartoonist Shel Silverstein on being yourself:
“She had blue skin, And so did he. He kept it hid And so did she. They searched for blue Their whole life through, Then passed right by— And never knew.”
Source: ​Everything On It ​
​
​II.
Poet and novelist Sylvia Plath reminds us that choosing a path means ignoring the rest, but not choosing means squandering them all:
“I saw my life branching out before me like the green fig tree in the story. From the tip of every branch, like a fat purple fig, a wonderful future beckoned and winked. One fig was a husband and a happy home and children, and another fig was a famous poet and another fig was a brilliant professor, and another fig was Ee Gee, the amazing editor, and another fig was Europe and Africa and South America, and another fig was Constantin and Socrates and Attila and a pack of other lovers with queer names and offbeat professions, and another fig was an Olympic lady crew champion, and beyond and above these figs were many more figs I couldn’t quite make out. I saw myself sitting in the crotch of this fig tree, starving to death, just because I couldn’t make up my mind which of the figs I would choose. I wanted each and every one of them, but choosing one meant losing all the rest, and, as I sat there, unable to decide, the figs began to wrinkle and go black, and, one by one, they plopped to the ground at my feet.”
Source: ​The Bell Jar","What conversation will you be proud of yourself for having even if it doesn’t end with the outcome you want? Go have that conversation.






Share this on Twitter"
2024-07-25,https://jamesclear.com/3-2-1/july-25-2024,"I.
“In many cases, what you hope to learn by reading books or listening to podcasts can only be learned by attempting what you fear. Some knowledge is only revealed through action.”






Share this on Twitter


​II.
“Creativity is the focused combination of unlikely things. Your mind locks onto a certain element and then searches widely for something unexpected that fits with it. What can scuba diving teach you about agriculture? What can trees teach you about public speaking? There is always some connective tissue between disciplines. If you wish to be more creative, look for the connections between two previously unconnected things.”

III.
“The bad workouts are the most important ones. It’s easy to train when you feel good, but it’s crucial to show up when you don’t feel like it—even if you do less than you hope.
Going to the gym for 15 minutes might not improve your performance, but it reaffirms your identity. It’s not always about what happens during the workout. It’s about becoming the type of person who doesn’t miss workouts.”","I.
Joan Didion reminds us that the little choices count and carry us toward our destiny:
“That was the year, my twenty-eighth, when I was discovering that not all of the promises would be kept, that some things are in fact irrevocable and that it had counted after all, every evasion and every procrastination, every mistake, every word, all of it.”
Source: ​Slouching Towards Bethlehem, “Goodbye to All That”​
​ ​
​II.
Haruki Murakami on how our challenges shape us:
“And once the storm is over, you won’t remember how you made it through, how you managed to survive. You won’t even be sure whether the storm is really over. But one thing is certain. When you come out of the storm, you won’t be the same person who walked in. That’s what this storm’s all about.”
Source: ​Kafka on the Shore 
​
Thanks to ​Dylan O’Sullivan​ for putting both quotes on my radar.","In many cases, the real talent is being obsessed with the thing. What are you willing to focus on so wholeheartedly that you are happy to ignore nearly everything else?






Share this on Twitter"
2024-07-18,https://jamesclear.com/3-2-1/july-18-2024,"I.
“When one worldview dominates your thinking, you’ll try to explain every problem you face through that worldview. Read widely and realize there are many answers.”






Share this on Twitter


​II.
“A great relationship is not only finding the person you have fun with, but also finding the person you want to be bored with. The beauty of long-term relationships is often hidden in boring, ordinary moments.”






Share this on Twitter


III.
“Some projects benefit from early action. If you’re writing a book, it’s easy to spend a lot of time brainstorming titles and dreaming up an outline, but it’s better to simply write. The book discovers itself as you go. Yes, you’ll need to go back and organize things, but this is easier to do once you have material. The key is to act first and then organize your thinking.
Other projects benefit from early planning. The best way to build a skyscraper is to plan carefully. If you start placing steel beams on day one, you’re guaranteed to run into problems. It is harder to make changes once you’ve begun. You’ll need to tear it down and start over again. The key is to organize your thinking and then act.
Do you need early action or early planning?”","I.
A Latin adage on the will to achieve:
“If there is no wind, row.”
Source: I’m told the original version was possibly written by Virgil as “Destitutus ventis, remos adhibere.”
​ ​
​II.
Investor and mathematician Jim Simons on beauty:
“Be guided by beauty. I really mean that. I think pretty much everything I’ve done has had an aesthetic component—at least to me. Now, you might think, “Building a company that’s trading bonds? What’s so aesthetic about that?” What’s aesthetic about it is doing it right. Getting the right kind of people, and approaching the problem, and doing it right. And if you feel that you’re the first one to do it right, that’s a terrific feeling. It’s a beautiful thing to do something right.”
Source: ​Mathematics, Common Sense, and Good Luck","It’s important to have boundaries in life, but sometimes you may feel guilty for enforcing them. Aren’t I supposed to be generous? Am I unkind if I say no to this?
The question isn’t whether to be flexible or firm, but when to be each one. A good life has a healthy mix of selfish boundaries and unselfish giving. You don’t have to be all things at all times. Sometimes you pour for others and sometimes you refill your own cup.
What does this moment call for?"
2024-07-11,https://jamesclear.com/3-2-1/july-11-2024,"I.
“The first minute of action is worth more than a year of perfect planning.”






Share this on Twitter


​II.
“One of the great mistakes in life is suffering for years because you didn’t want to feel foolish for five minutes.
You don’t want to apologize, so you let a relationship deteriorate.You’re scared of the sting of rejection, so you don’t ask for what you want.You fear people will say your idea is dumb, so you never start the business.
Nobody likes feeling foolish, but the feeling fades quickly. The willingness to endure five minutes of discomfort turns out to be a meaningful dividing line in life.”

III.
“In my early 20s, I wrote a list of ambitious things I wanted to do in life. Go bungee jumping. Create a movie. Start a business. That sort of thing. I did a few of them, but not most.
Looking back, however, that list was incredibly valuable because it taught me the usefulness of chasing bold ideas—even if they never materialize. The dreams that didn’t happen changed shape and led me down other interesting paths.
The important thing isn’t to achieve all your dreams, but to keep dreaming. Your desires change as you learn and grow. Old dreams will spawn new dreams. And eventually, one of these newer, more refined visions will find their moment and become reality.”","I.
The artist George Grosz on what exceptional painting and drawing requires: 
“Endless curiosity, observation, and a great amount of joy in the thing.” 
Source: ​From a letter by Marianne Moore to Mary Reeves (August 28, 1963)​​​
​II.
Polymath and writer Johann Wolfgang von Goethe on dealing with critics: 
 “Against criticism we can neither protect nor defend ourselves; we must act in despite of it, and gradually it resigns itself to this.” 
Source: ​Sweet Theft","What is in the way of what I want?
Can I come up with at least three different paths around it?"
2024-07-04,https://jamesclear.com/3-2-1/july-4-2024,"I.
“Carry an ambitious question with you each day and keep looking for answers.”






Share this on Twitter


​II.
“I’m not the best writer, but it is a strength. I might be a 90th percentile writer.
And I’m not the best marketer, but it is a strength. Again, maybe 90th percentile? I’m better than most, but if you pass 100 people on the street it won’t be hard to find some people better than me.
What I have gradually learned is that it is not your strengths, but your combination of strengths that sets you apart. It is the fact that writing and marketing are mutually reinforcing—and that I enjoy both—that leads to great results.
How can you combine your strengths? That’s something I would encourage everyone to think about. You will find talented people in every area of life. It’s the combinations that are rare.”

III.
“When you choose the benefits of an action, you also choose the drawbacks.
If you want to be an author, you can’t only choose the finished novel and book signings. You are also choosing months of lonely typing. If you want to be a bodybuilder, you can’t only choose the fit body and attention. You are also choosing the boring meals and calorie counting.
You have to want the lifestyle, not just the outcomes. Otherwise, it doesn’t make any sense being jealous. The results of success are usually public and highly visible, but the process behind success is often private and hidden from view. It’s easy to want the public rewards, but also you have to want the hidden costs.”","I.
Poet Emily Dickinson on the value of small actions:
“If I can stop one heart from breaking, I shall not live in vain; If I can ease one life the aching, Or cool one pain, Or help one fainting robin Unto his nest again, I shall not live in vain.”
Source: “​If I Can Stop One Heart From Breaking​“
​II.
The rabbi Menachem Mendel Schneerson on dealing with challenges:
“In every challenge or even tragedy, there is an opportunity. And if you train yourself to look for the opportunity, you will be able to take control of the situation and even turn it into a positive or if it can’t be turned into something good, at least something good could come out of it.”
Source: ​Likutei Sichot: The Collected Writings of the Lubavitcher Rebbe","Instead of asking, “What would make me feel happy?” try asking, “What would make the group excited?”
Many of the best moments in life happen when the group is having fun. You feed off one another’s energy. What can you do to laugh or gasp or scream or smile with others?"
2024-06-27,https://jamesclear.com/3-2-1/june-27-2024,"I.
“Make a mistake? Release the guilt, remember the lesson.”






Share this on Twitter


​II.
“Surround yourself with people who have the same goals as you. Rise together.”






Share this on Twitter


III.
“Productivity is most important for things you don’t want to be doing. Most people want to increase productivity so they can spend less time on the task.
But before you worry about being more productive, think about being more selective. Rather than focusing on increasing productivity, it may be worth asking, “What would I be delighted to spend time on, even if it went slowly?”
Direct your energy toward figuring out how to start what you want to do rather than thinking about how to shorten what you don’t want to do.”","I.
Philosopher and author Albert Camus on the excuses we allow ourselves to live by:
“Those who lack the courage will always find a philosophy to justify it.”
Source: ​Notebooks, 1942-1951​
​II.
Math teacher Dan Meyer reminds us how to solve problems in the real world:
“What problem have you solved, ever, that was worth solving where you knew all the given information in advance? No problem worth solving is like that. In the real world, you have a surplus of information and you have to filter it, or you don’t have sufficient information and you have to go find some.”
Source: ​Math class needs a makeover​","A wonderful question from ​Morgan Housel​ on measuring your results internally rather than externally:
“Would I be happy with this result if no one other than me and my family could see it, and I didn’t compare the result to the appearance of other people’s success?”"
2024-06-20,https://jamesclear.com/3-2-1/june-20-2024,"I.
“You can handle whatever you face.”






Share this on Twitter


​II.
“Do not mistake a confident explanation for an accurate prediction.
An engineer can predict how much weight a steel bridge will hold and you can be quite sure reality will match their calculation. That’s an accurate prediction.
Meanwhile, strongly held opinions about what will happen in markets or sports or politics have little predictive power. A lot of what you hear can be summarized as: confident, but inaccurate.”
(Inspired by a recent conversation with ​Morgan Housel​.)

III.
“One of life’s counterintuitive lessons is that you will often gain energy by spending a little bit of energy.
When you feel lethargic and like you want to lay around all day, it is usually the case that getting up and moving will make you feel better than simply sitting around. Getting outside for 10 minutes or doing the first set of a workout or simply stretching on the floor for a moment — anything to get your body moving — will often leave you feeling more energized.
If you want to get your day going, then get your body going. It’s harder for the mind to be sluggish when the body is moving.”","I.
Author Cormac McCarthy on the benefits of bad luck:
“You never know what worse luck your bad luck has saved you from.”
Source: ​No Country for Old Men ​
​II.
Entrepreneur Phil Levin on the importance of neighborhoods:
“You are going to spend 1000x more time in your surrounding 5 blocks than you will in any other neighborhood in your city. Thinking about all the things that New York City has—or the next city has—is a lot less important than thinking about the things within the five blocks where you live.
Most neighborhoods in your city you might never step foot in. They might as well be in the other side of the country. But the things in your immediate vicinity are the things that are going to dominate your life. So picking and influencing your neighborhood is really important… the neighborhood determines quite a bit about our life and our happiness.”
Source: ​The Importance of Picking Your Neighborhood​","How do you want to feel at the end of today? What do you need to do now, so you can feel this way?






Share this on Twitter"
2024-06-13,https://jamesclear.com/3-2-1/june-13-2024,"I.
“Move toward the next thing, not away from the last thing.
Same direction. Completely different energy.”






Share this on Twitter


​II.
“Guilt lives in the past.
Worry lives in the future.
Peace lives in the present.”






Share this on Twitter


III.
“Mastery requires lots of practice. But the more you practice something, the more boring and routine it becomes.
Thus, an essential component of mastery is the ability to maintain your enthusiasm. The master continues to find the fundamentals interesting.”






Share this on Twitter","I.
Novelist and poet Robert Louis Stevenson on the shortness of life:
“Old and young, we are all on our last cruise.” 
Source: ​Crabbed Age and Youth (1877)​
​II.
Travel writer and essayist Alice Wellington Rollins on the importance of drive:
“The test of a student is not how much he knows, but how much he wants to know.”
Source: ​Aphorisms for the Year (1897)","How can I overlap the things I enjoy?
For example, maybe you want to exercise and spend time with your spouse. What type of exercise sounds fun to do with your spouse?
Or perhaps you’d like to hang out with friends and build your career. How can you find ways to work with people you like being around?
It doesn’t always work, but there are usually a few areas of life you can overlap in an enjoyable way. Look for the overlap."
